N,backend_name,case,circuit_depth_t,converged,convergence_factor,discretisation_order,err_thomas_vs_exact,err_vs_thomas,hhl_scale_c,hhl_trotter_steps,inner_calls,inner_failures,inner_max_s,inner_mean_s,inner_options,inner_total_s,kappa_row,level_kappas,level_shapes,linf_err,max_abs_err,max_rel_err,mean_strip_size,n_circuit_evals,n_gates_2q,n_gates_total,n_jacobi_iters,n_levels,n_outer,notes,peak_E_field,peak_E_rel_err,qsvt_degree,qsvt_depth,rel_l2_err,residual,rms_err,s_per_strip_solve,scheme,solver,solves_per_digit,stop_reason,strip_solves,strip_solves_by_size,vqls_final_cost,wall_time_s,weighted_cost
16,aer_simulator_statevector (CPU),2D_HET_MMS_SPT100,1045094,True,0.13141476540941072,4,0.007512910573311355,7.806727979391163e-12,,,400,0,5.2699959594756365,0.25293737213592976,"{""max_degree"": 500}",101.1749488543719,1.5224680684373313,"[1.5225, 1.4951, 1.4151]","[[16, 16], [8, 8], [4, 4]]",0.007512910572394052,0.022346849348082287,0.018044381277231878,7.52,,222447,,2,3,2,,23229.251110569887,0.0009094520601116877,501,1003,4.887929752784978e-05,8.082970807584964e-05,0.00755754399799938,0.252989863618277,fmg,QSVT,226.92310172468487,tol_met,400,"{""4"": 240, ""8"": 64, ""16"": 96}",,101.1959454473108,242.6903207402675
16,aer_simulator_statevector (CPU),2D_Poisson_SingleMode_n1m1,,True,0.13902088847216781,4,0.0015548183308181393,0.0,,,496,0,0.000141853466629982,4.1835858756976745e-05,{},0.020750585943460464,3.068749793806094,"[3.0687, 2.9115, 2.4909]","[[16, 16], [8, 8], [4, 4]]",0.0015548183308181393,7.809742922845753e-07,0.0017507952750851347,7.741935483870968,,,,3,3,3,,0.15223557422034042,0.0016000235831502994,,,1.2517274441857165e-05,5.884871273771081e-05,3.368829072066276e-07,7.745693437755108e-05,fmg,Thomas,192.93906649029122,tol_met,496,"{""4"": 288, ""8"": 80, ""16"": 128}",,0.038418639451265335,240.0
16,,2D_Poisson_SingleMode_n1m1,396594,False,1.0013812631349612,,0.0015548183308181393,0.6813893814746846,0.03339875166390807,,1072,0,33.29583084024489,10.46413260869119,"{""epsilon"": 0.01}",11217.550156516954,3.068749793806094,"[3.0687, 2.9115, 2.4909]","[[16, 16], [8, 8], [4, 4]]",0.6810938320048244,0.00034210863281336837,4.009418081320101,8.238805970149254,,97799,563512,9,3,9,,0.1562599386833161,2.645153525691239,,,0.0035233678247138683,0.10895945084405183,9.482594645194918e-05,10.46418259231332,fmg,HHL,,stagnated,1072,"{""4"": 576, ""8"": 176, ""16"": 320}",,11217.603738959879,376.6822997476655
16,,2D_Poisson_SingleMode_n1m1,89,False,0.9555587716061347,,0.0015548183308181393,0.10351715758998443,,,1072,0,42.69133826345205,11.63630584584994,{},12474.119866751134,3.068749793806094,"[3.0687, 2.9115, 2.4909]","[[16, 16], [8, 8], [4, 4]]",0.10484004421439556,5.266041550355122e-05,0.28837646771054565,8.238805970149254,935.6856343283582,30,240,9,3,9,,0.15223302470934327,7.471755602582759e-05,,,0.00047618119130560016,0.01633881951502937,1.2815673638002064e-05,11.636352890393516,fmg,VQLS,6033.203939491131,stagnated,1072,"{""4"": 576, ""8"": 176, ""16"": 320}",9.558648285059027e-08,12474.17029850185,488.3061650976848
16,aer_simulator_statevector (CPU),2D_Poisson_SingleMode_n1m1,1045094,True,0.1390208884737911,4,0.0015548183308181393,6.713720479517704e-12,,,496,0,4.163440367206931,0.26966874503094945,"{""max_degree"": 500}",133.75569753535092,3.068749793806094,"[3.0687, 2.9115, 2.4909]","[[16, 16], [8, 8], [4, 4]]",0.0015548183322272118,7.809742929923424e-07,0.001750795288096161,7.741935483870968,,222447,,3,3,3,,0.15223557422035527,0.0016000235929045704,501,1003,1.2517274441612015e-05,5.884871273977691e-05,3.368829072000298e-07,0.2697289012364983,fmg,QSVT,192.93906649143298,tol_met,496,"{""4"": 288, ""8"": 80, ""16"": 128}",,133.78553501330316,306.13959754555765
16,aer_simulator_statevector (CPU),2D_Poisson_sin_hom,,True,0.13902088847216781,4,0.0015548183308181395,0.0,,,496,0,0.00013493560254573822,4.228189091889128e-05,{},0.020971817895770073,3.068749793806094,"[3.0687, 2.9115, 2.4909]","[[16, 16], [8, 8], [4, 4]]",0.0015548183308181395,7.809742922845753e-07,0.0017507952750851347,7.741935483870968,,,,3,3,3,,0.15223557422034042,0.0016000235831502994,,,1.2517274441838455e-05,5.884871273771081e-05,3.368829072061241e-07,7.782512599782598e-05,fmg,Thomas,192.93906649029122,tol_met,496,"{""4"": 288, ""8"": 80, ""16"": 128}",,0.038601262494921684,240.0
16,,2D_Poisson_sin_hom,396594,False,1.0013812631349612,,0.0015548183308181395,0.6813893814746846,0.03339875166390807,,1072,0,33.20719049498439,10.499777963588278,"{""epsilon"": 0.01}",11255.761976966634,3.068749793806094,"[3.0687, 2.9115, 2.4909]","[[16, 16], [8, 8], [4, 4]]",0.6810938320048244,0.00034210863281336837,4.009418081320101,8.238805970149254,,97799,563512,9,3,9,,0.1562599386833161,2.645153525691239,,,0.0035233678247138744,0.10895945084405183,9.482594645194934e-05,10.499827944110635,fmg,HHL,,stagnated,1072,"{""4"": 576, ""8"": 176, ""16"": 320}",,11255.8155560866,376.6822997476655
16,,2D_Poisson_sin_hom,89,False,0.9555587716061347,,0.0015548183308181395,0.10351715758998443,,,1072,0,43.171543069183826,11.676484514318004,{},12517.1913993489,3.068749793806094,"[3.0687, 2.9115, 2.4909]","[[16, 16], [8, 8], [4, 4]]",0.10484004421438178,5.266041550354428e-05,0.28837646771054565,8.238805970149254,935.6856343283582,30,240,9,3,9,,0.15223302470934327,7.471755602582759e-05,,,0.0004761811913055813,0.01633881951502937,1.2815673638001558e-05,11.676532041067745,fmg,VQLS,6033.203939491131,stagnated,1072,"{""4"": 576, ""8"": 176, ""16"": 320}",9.558648285059027e-08,12517.242348024622,488.3061650976848
16,aer_simulator_statevector (CPU),2D_Poisson_sin_hom,1045094,True,0.1390208884737911,4,0.0015548183308181395,6.713720479517704e-12,,,496,0,4.696207594126463,0.2685387073340075,"{""max_degree"": 500}",133.1951988376677,3.068749793806094,"[3.0687, 2.9115, 2.4909]","[[16, 16], [8, 8], [4, 4]]",0.0015548183322272118,7.809742929923424e-07,0.0017507952880753427,7.741935483870968,,222447,,3,3,3,,0.15223557422035527,0.0016000235929045704,501,1003,1.2517274441593307e-05,5.884871273977691e-05,3.368829071995263e-07,0.2685995270242734,fmg,QSVT,192.93906649143298,tol_met,496,"{""4"": 288, ""8"": 80, ""16"": 128}",,133.22536540403962,306.13959754555765
16,aer_simulator_statevector (CPU),2D_Poisson_TwoGaussian_PlasmaNet,,True,0.15464539633571683,4,0.09342759259349394,0.0,,,592,0,0.00013421475887298584,3.9873710783148135e-05,{},0.023605236783623695,3.0687497938060964,"[3.0687, 2.9115, 2.4909]","[[16, 16], [8, 8], [4, 4]]",0.09342759259349394,0.26672601214932,0.12345112337982138,7.891891891891892,,,,4,3,4,,109421.32413742255,0.03879621297901156,,,0.0003751834387211273,2.6309625036609216e-05,0.05650209492806603,7.371060122307893e-05,fmg,Thomas,182.56661431467208,tol_met,592,"{""4"": 336, ""8"": 96, ""16"": 160}",,0.04363667592406273,292.0
