N,backend_name,case,circuit_depth_t,converged,convergence_factor,discretisation_order,err_thomas_vs_exact,err_vs_thomas,hhl_scale_c,hhl_trotter_steps,inner_calls,inner_failures,inner_max_s,inner_mean_s,inner_options,inner_total_s,kappa_row,level_kappas,level_shapes,linf_err,max_abs_err,max_rel_err,mean_strip_size,n_circuit_evals,n_gates_2q,n_gates_total,n_jacobi_iters,n_levels,n_outer,notes,peak_E_field,peak_E_rel_err,qsvt_degree,qsvt_depth,rel_l2_err,residual,rms_err,s_per_strip_solve,scheme,solver,solves_per_digit,stop_reason,strip_solves,strip_solves_by_size,vqls_final_cost,wall_time_s,weighted_cost
8,aer_simulator_statevector (CPU),2D_Poisson_TwoGaussian_PlasmaNet,186880,True,0.06623787685555729,2,4.046810721596226,3.0943650780528665e-11,,,368,0,0.47663486562669277,0.2664713215680145,"{""max_degree"": 500}",98.06144633702934,2.772490957258859,"[2.7725, 2.3586]","[[8, 8], [4, 4]]",4.046810721611705,11.665744258855625,4.046810721611705,4.869565217391305,,39581,,4,2,4,,111961.69501574291,6.390842370211441,501,1003,0.020982043786688533,8.716143123270154e-07,3.3457280061291303,0.266518514902007,fmg,QSVT,78.03927366014302,tol_met,368,"{""4"": 288, ""8"": 80}",,98.07881348393857,270.0091391512968
8,aer_simulator_statevector (CPU),2D_HET_MMS_SPT100,,True,0.2027504409263507,2,0.21688124027700256,0.0,,,496,0,0.0002195555716753006,4.976567992519948e-05,{},0.02468377724289894,1.4628677255305707,"[1.4629, 1.3861]","[[8, 8], [4, 4]]",0.21688124027700256,0.631024412028296,0.35584040827859403,4.903225806451613,,,,6,2,6,,22471.48769086265,0.3383393510592226,,,0.0023005626959421623,2.3671031772948393e-07,0.36601728364023944,7.425311336954755e-05,fmg,Thomas,119.28154543860745,tol_met,496,"{""4"": 384, ""8"": 112}",,0.036829544231295586,304.0
8,aer_simulator_statevector (CPU),2D_HET_MMS_SPT100,11939,False,0.9030050846206997,2,0.21755719369204204,0.07764646698349477,115.83519779879742,100,752,0,0.9997056107968092,0.3279109289275205,"{""epsilon"": 0.01}",246.5890185534954,1.4628677255305707,"[1.4629, 1.3861]","[[8, 8], [4, 4]]",0.22521542704102357,0.6552730528779307,0.5194711237528012,4.9361702127659575,,3668,17721,10,2,10,,22474.29074389235,0.3508553753644325,,,0.002395782957337409,0.001563971226718221,0.3811667344614997,0.3279572341298843,fmg,HHL,1697.1413268251663,stagnated,752,"{""4"": 576, ""8"": 176}",,246.623840065673,288.98011009713207
8,aer_simulator_statevector (CPU),2D_HET_MMS_SPT100,69,False,0.9112522788975151,2,0.21755719369204204,0.0546476461765422,,,1008,0,5.690419301390648,1.8004534364334264,{},1814.8570639248937,1.4628677255305707,"[1.4629, 1.3861]","[[8, 8], [4, 4]]",0.21205814004887721,0.6169914141455877,0.6390240852128163,4.9523809523809526,270.93948412698415,16,134,14,2,14,,22467.244284689645,0.31939194826823897,,,0.0023213260231003635,0.0010334624840879312,0.36932070876279016,1.8004875400210805,fmg,VQLS,1783.8838328264853,stagnated,1008,"{""4"": 768, ""8"": 240}",2.554219555482551e-08,1814.891440341249,554.0743904861879
8,aer_simulator_statevector (CPU),2D_HET_MMS_SPT100,186880,True,0.20275044128225814,2,0.21688124027700256,1.405203837629716e-12,,,496,0,0.47858298756182194,0.25796590164499056,"{""max_degree"": 500}",127.95108721591532,1.4628677255305707,"[1.4629, 1.3861]","[[8, 8], [4, 4]]",0.21688124027828223,0.6310244120320192,0.3558404082809208,4.903225806451613,,39581,,6,2,6,,22471.487690862927,0.33833935106045715,501,1003,0.002300562695942058,2.3671032022258795e-07,0.3660172836402228,0.25801370958722525,fmg,QSVT,119.28154556982008,tol_met,496,"{""4"": 384, ""8"": 112}",,127.97479995526373,365.3455188683957
8,aer_simulator_statevector (CPU),2D_HET_Sin_MeetingReport,,True,0.19925151627655505,2,1.0216112415879548,0.0,,,560,0,0.00017917528748512268,5.051950658006327e-05,{},0.028290923684835434,1.4628677255305707,"[1.4629, 1.3861]","[[8, 8], [4, 4]]",1.0216112415879548,0.19816117866200855,1.0216156777512482,4.914285714285715,,,,7,2,7,,2694.599876252032,1.02161202557563,,,0.010216075064110165,2.471675001582112e-07,0.11493084447123936,7.479634202484574e-05,fmg,Thomas,114.18810547782067,tol_met,560,"{""4"": 432, ""8"": 128}",,0.04188595153391361,344.0
8,aer_simulator_statevector (CPU),2D_HET_Sin_MeetingReport,11939,False,0.8704181281947473,2,1.0218451142560083,0.08706556955812525,8.522417749198897,100,752,0,0.9979255944490433,0.3591926888627139,"{""epsilon"": 0.01}",270.11290202476084,1.4628677255305707,"[1.4629, 1.3861]","[[8, 8], [4, 4]]",1.0336302519577376,0.20049249723435025,1.1785090655214148,4.9361702127659575,,3668,17721,10,2,10,,2694.9595153320192,1.035095036514615,,,0.010209062477062977,0.005468184729706629,0.1148519528669585,0.35925764905070845,fmg,HHL,1247.6756958555516,stagnated,752,"{""4"": 576, ""8"": 176}",,270.16175208613276,288.98011009713207
8,aer_simulator_statevector (CPU),2D_HET_Sin_MeetingReport,69,False,0.8042797805950294,2,1.0218451142560083,0.05500256906839187,,,688,0,5.520395955070853,1.8810128181723358,{},1294.136818902567,1.4628677255305707,"[1.4629, 1.3861]","[[8, 8], [4, 4]]",1.0374791779800343,0.20123907057469026,1.1384832332979065,4.930232558139535,261.5218023255814,16,134,9,2,9,,2694.6217685466304,1.0224327763337473,,,0.010232438861106278,0.0028461307900035765,0.11511493718744562,1.8810593889630942,fmg,VQLS,808.1418952225879,stagnated,688,"{""4"": 528, ""8"": 160}",3.129776445374052e-08,1294.1688596066087,375.9261434592542
8,aer_simulator_statevector (CPU),2D_HET_Sin_MeetingReport,186880,True,0.19925151736763214,2,1.0216112415879548,1.6680183762511657e-12,,,560,0,0.48054587841033936,0.26906535842655493,"{""max_degree"": 500}",150.67660071887076,1.4628677255305707,"[1.4629, 1.3861]","[[8, 8], [4, 4]]",1.0216112415893284,0.198161178662275,1.0216156777524612,4.914285714285715,,39581,,7,2,7,,2694.5998762520685,1.021612025576994,501,1003,0.010216075064110494,2.4716750963244506e-07,0.11493084447124306,0.26911455587084804,fmg,QSVT,114.1881058654261,tol_met,560,"{""4"": 432, ""8"": 128}",,150.7041512876749,413.01370872694514
16,aer_simulator_statevector (CPU),2D_Poisson_sin_hom,,True,0.10269702938037249,2,0.285079201982455,0.0,,,688,0,0.0001634657382965088,5.7444891480858935e-05,{},0.03952208533883095,2.9330326452100475,"[2.933, 2.7725, 2.3586]","[[16, 16], [8, 8], [4, 4]]",0.285079201982455,0.00014319327448123614,0.2850792128629309,8.0,,,,5,3,5,,0.15266712288264697,0.28507881584119243,,,0.0028507794959059256,1.7157281635815056e-07,7.672428122006912e-05,8.203322609323401e-05,fmg,Thomas,139.20896065063224,tol_met,688,"{""4"": 384, ""8"": 112, ""16"": 192}",,0.056438859552145004,344.0
