dim,order,case,N_coarse,N_fine,err_disc_coarse_pct,err_disc_fine_pct,p_observed,note
3,2,3D_Poisson_TwoGaussian_cube,4,8,42.61122594458303,13.976235177866029,1.6082577693376876,
3,2,3D_Poisson_TwoGaussian_cube,8,16,13.976235177866029,3.774669674706238,1.8885534864545914,
3,2,3D_Poisson_TwoGaussian_cube,16,32,3.774669674706238,0.9732386125753054,1.95548493374669,
3,2,3D_Poisson_TwoGaussian_cube,32,64,0.9732386125753054,0.2495322206898741,1.9635674446757148,
3,4,3D_HET_MMS_SPT100,4,8,0.2725574930271701,0.02395208934646445,3.508337169561497,
3,4,3D_HET_MMS_SPT100,8,16,0.02395208934646445,0.0017887361772179068,3.7431389846619947,
3,4,3D_HET_MMS_SPT100,16,32,0.0017887361772179068,0.00012841473946080252,3.8000579085035264,
3,4,3D_HET_RotatingSpoke_SPT100,4,8,0.9908356139426885,0.11047270015365528,3.1649558277496217,
3,4,3D_HET_RotatingSpoke_SPT100,8,16,0.11047270015365528,0.008200502504852165,3.7518337698901925,
3,4,3D_HET_RotatingSpoke_SPT100,16,32,0.008200502504852165,0.0005469575985009392,3.9062114157360384,
3,4,3D_Laplace_BCdriven_cube,4,8,0.7025489214424131,0.0407930405259242,4.1062037416532595,
3,4,3D_Laplace_BCdriven_cube,8,16,0.0407930405259242,0.003940883582555514,3.3717320063658307,
3,4,3D_Laplace_BCdriven_cube,16,32,0.003940883582555514,0.0002754091994560092,3.83887047598681,
3,4,3D_Poisson_HighMode_n2m3l4,4,8,21.289255404381628,2.427789583719113,3.132410198259266,
3,4,3D_Poisson_HighMode_n2m3l4,8,16,2.427789583719113,0.20929122294394867,3.5360596731728506,
3,4,3D_Poisson_HighMode_n2m3l4,16,32,0.20929122294394867,0.015214642967820134,3.781979425919603,
3,4,3D_Poisson_TripleSin_cube,4,8,0.16745093953564005,0.0163331432860776,3.3578641037803507,
3,4,3D_Poisson_TripleSin_cube,8,16,0.0163331432860776,0.0013015220078140546,3.649530849853295,
3,4,3D_Poisson_TripleSin_cube,16,32,0.0013015220078140546,9.661445818353837e-05,3.751816794683553,
3,4,3D_Poisson_TwoGaussian_cube,4,8,20.197269098324277,3.689656466418582,2.452601834945366,
3,4,3D_Poisson_TwoGaussian_cube,8,16,3.689656466418582,0.3709404165690608,3.3142271239472025,
3,4,3D_Poisson_TwoGaussian_cube,16,32,0.3709404165690608,0.0277680681498541,3.739688752049233,
