solver,xi,z_mm,phi_code,E_axial_code_per_mm,phi_exact_code
QSVT,0.5151515151515151,20.606060606060606,106442730.12278709,-2130637.915345371,106442934.21847877
QSVT,0.5454545454545454,21.818181818181817,108365520.16559832,-963180.0508477837,108365701.38058831
QSVT,0.5757575757575758,23.03030303030303,108777712.06423627,332538.04799322784,108777875.74988621
QSVT,0.6060606060606061,24.242424242424242,107559367.32197838,1689695.32585828,107559524.35239871
QSVT,0.6363636363636364,25.454545454545457,104681480.9712465,3031226.4490671903,104681644.70842879
QSVT,0.6666666666666667,26.66666666666667,100210939.56666397,4282701.24565804,100211122.36157987
QSVT,0.696969696969697,27.878787878787882,94299174.9211664,5384477.508083411,94299384.96670069
QSVT,0.7272727272727273,29.09090909090909,87157660.75918907,6299882.221833821,87157900.08233699
QSVT,0.7575757575757576,30.303030303030305,79026733.17126623,7017641.943276115,79026997.15498179
QSVT,0.7878787878787878,31.515151515151516,70145195.44215606,7548756.596817382,70145473.70921305
QSVT,0.8181818181818182,32.72727272727273,60726717.178981684,7919639.741427742,60726995.42220414
QSVT,0.8484848484848485,33.939393939393945,50946068.79627059,8164050.984898571,50946331.00292002
QSVT,0.8787878787878788,35.15151515151515,40935078.427712426,8316048.2262128,40935308.95585395
QSVT,0.9090909090909092,36.36363636363637,30785951.88423958,8405250.446821593,30786137.159184154
QSVT,0.9393939393939394,37.575757575757585,20558713.708144825,8454651.546339236,20558843.18655235
QSVT,0.9696969696969697,38.78787878787879,10289826.923417203,8471831.597400345,10289893.432556232
