order,case,N,kappa,degree,max_degree,degree_over_kappa,residual,err_alg_pct,eigenvector_rhs
4,1D_Poisson_fH_hom,32,586.8093155218731,14999,14999,25.56026225769914,2.0708093754148674e-11,8.890218570780502e-10,False
4,HET_1D_3c_gaussian_NeumannDirichlet,4,37.84409746869306,567,567,14.982521395022221,1.5978614361805314e-07,1.2332425901950165e-05,False
4,HET_1D_3c_gaussian_NeumannDirichlet,8,149.85652429187536,2247,2247,14.994342159060896,7.146772681399427e-07,8.852754647118608e-05,False
4,HET_1D_3c_gaussian_NeumannDirichlet,16,581.9723347512083,5001,5000,8.59319198074581,0.03421767541483299,4.169554515043083,False
4,HET_1D_3c_gaussian_NeumannDirichlet,32,2276.5157897384793,5001,5000,2.196778086294101,0.039440264854258764,3.487058276081081,False
4,1D_Poisson_fS_nonhom,64,2281.4379953842554,14999,14999,6.574362323387959,0.009009587742705808,7.749983211248907,False
4,HET_1D_3a_linear_hom,64,2281.4379953842554,14999,14999,6.574362323387959,0.0029369886238232957,0.04471287453108218,False
4,HET_1D_3b_gaussian_Vd300,64,2281.4379953842554,14999,14999,6.574362323387959,0.042497140400464525,3.115172067677821,False
4,HET_1D_3c_gaussian_NeumannDirichlet,64,8985.828918892468,5001,5000,0.5565429795225156,0.9164253416952007,75.29266668684897,False
4,1D_Poisson_fS_hom,64,2281.4379953842554,14999,14999,6.574362323387959,1.2721843057825235e-11,1.0036528251321517e-11,True
4,1D_Poisson_fL_hom,64,2281.4379953842554,14999,14999,6.574362323387959,0.0443118796386877,3.7110039414162417,False
4,1D_Poisson_fH_hom,64,2281.4379953842554,14999,14999,6.574362323387959,0.002352217203522758,0.04588963477368214,False
