solver,N,z_mm,r_mm,phi
Thomas,16,30.58823529411765,15.294117647058828,73.08086347618467
Thomas,16,30.58823529411765,16.470588235294123,55.364173954079085
Thomas,16,30.58823529411765,17.64705882352942,37.174387906933255
Thomas,16,30.58823529411765,18.82352941176471,18.66694725977144
Thomas,16,32.94117647058824,1.1764705882352944,157.2818798753396
Thomas,16,32.94117647058824,2.3529411764705888,155.28790523282268
Thomas,16,32.94117647058824,3.529411764705883,151.96516328201443
Thomas,16,32.94117647058824,4.7058823529411775,147.3423951031787
Thomas,16,32.94117647058824,5.882352941176472,141.45940470848333
Thomas,16,32.94117647058824,7.058823529411766,134.36671951209087
Thomas,16,32.94117647058824,8.235294117647062,126.12516447823141
Thomas,16,32.94117647058824,9.411764705882355,116.80534392491394
Thomas,16,32.94117647058824,10.58823529411765,106.4870428579846
Thomas,16,32.94117647058824,11.764705882352944,95.25854800657447
Thomas,16,32.94117647058824,12.941176470588239,83.21589744655049
Thomas,16,32.94117647058824,14.117647058823533,70.46206267059513
Thomas,16,32.94117647058824,15.294117647058828,57.106072807851604
Thomas,16,32.94117647058824,16.470588235294123,43.26208560904807
Thomas,16,32.94117647058824,17.64705882352942,29.04841613904204
Thomas,16,32.94117647058824,18.82352941176471,14.586528129525352
Thomas,16,35.29411764705883,1.1764705882352944,107.927990173557
Thomas,16,35.29411764705883,2.3529411764705888,106.5597006168002
Thomas,16,35.29411764705883,3.529411764705883,104.27960356879898
Thomas,16,35.29411764705883,4.7058823529411775,101.1074209854496
Thomas,16,35.29411764705883,5.882352941176472,97.07046758224834
Thomas,16,35.29411764705883,7.058823529411766,92.2034143675535
Thomas,16,35.29411764705883,8.235294117647062,86.5479997417939
Thomas,16,35.29411764705883,9.411764705882355,80.15267211613316
Thomas,16,35.29411764705883,10.58823529411765,73.07218036179356
Thomas,16,35.29411764705883,11.764705882352944,65.36710699431536
Thomas,16,35.29411764705883,12.941176470588239,57.10335404213792
Thomas,16,35.29411764705883,14.117647058823533,48.35158086480174
Thomas,16,35.29411764705883,15.294117647058828,39.186604179132665
Thomas,16,35.29411764705883,16.470588235294123,29.686759532767372
Thomas,16,35.29411764705883,17.64705882352942,19.933235871442008
Thomas,16,35.29411764705883,18.82352941176471,10.009382398129093
Thomas,16,37.64705882352941,1.1764705882352944,54.89867994230338
Thomas,16,37.64705882352941,2.3529411764705888,54.202644583092436
Thomas,16,37.64705882352941,3.529411764705883,53.04282933774281
Thomas,16,37.64705882352941,4.7058823529411775,51.42925923800692
Thomas,16,37.64705882352941,5.882352941176472,49.37582376074549
Thomas,16,37.64705882352941,7.058823529411766,46.90015520456318
Thomas,16,37.64705882352941,8.235294117647062,44.023481686969575
Thomas,16,37.64705882352941,9.411764705882355,40.7704449336986
Thomas,16,37.64705882352941,10.58823529411765,37.16889203733301
Thomas,16,37.64705882352941,11.764705882352944,33.24963783484374
Thomas,16,37.64705882352941,12.941176470588239,29.046203456970865
Thomas,16,37.64705882352941,14.117647058823533,24.5945301741376
Thomas,16,37.64705882352941,15.294117647058828,19.932674267036525
Thomas,16,37.64705882352941,16.470588235294123,15.100482037956668
Thomas,16,37.64705882352941,17.64705882352942,10.139251349212667
Thomas,16,37.64705882352941,18.82352941176471,5.091378967152388
Thomas,32,1.2121212121212122,0.6060606060606062,28.485122441477944
Thomas,32,1.2121212121212122,1.2121212121212124,28.388863731776933
Thomas,32,1.2121212121212122,1.8181818181818186,28.22825159369137
Thomas,32,1.2121212121212122,2.4242424242424248,28.00364919749617
Thomas,32,1.2121212121212122,3.0303030303030307,27.715565913864822
