N,backend_name,case,circuit_depth,circuit_depth_t,converged,discretisation_order,err_alg,err_disc,hhl_epsilon,hhl_scale_c,hhl_trotter_steps,kappa,max_abs_err,max_rel_err,n_gates_2q,n_gates_total,n_qubits,n_timing_repeats,notes,phase_lookup_time_s,proportionality_residual,qsvt_alpha,qsvt_angle_method,qsvt_degree,qsvt_kappa_eff,qsvt_max_degree,qsvt_phases_cached,random_seed,rel_l2_err,residual,rms_err,solver,success_probability,vqls_final_cost,vqls_n_evaluations,vqls_n_layers,vqls_n_restarts,vqls_optimiser_success,wall_time_mean_s,wall_time_s,wall_time_std_s
8,aer_simulator_statevector (CPU),HET_1D_3b_gaussian_Vd300,13151,2452482,True,4,7.642199919566952e-05,,,,,42.137764839337706,8528.77628390491,0.016255238081188728,519427,,3,1,rel_vs_thomas,8.251331746578217e-05,3.0308851061991356e-05,61.60225275138703,auto,6575,42.137764839337706,,True,,7.642199919566952e-05,0.00010980739399995492,5848.100089204642,QSVT,,,,,,,,3.0001487899571657,
8,aer_simulator_statevector (CPU),1D_Poisson_fS_hom,,,True,4,0.0,0.00016320528335654752,,,,42.137764839337706,1.6284931173574102e-05,0.016320528335697408,,,,10,,,3.4920195507850884e-16,,,,,,,,0.00016320528335654752,2.46202917276163e-15,1.2402114364776393e-05,Thomas,,,,,,,4.8363697715103626e-05,2.8330949135124683e-05,4.855671532297609e-05
8,aer_simulator_statevector (CPU),1D_Poisson_fS_hom,,168288,True,4,0.009884908882147539,0.00016320528335654752,0.01,0.2149802688151285,100,42.137764839337706,0.0013234681519016939,3.8191046204763794,40852,242744,3,1,,,0.009884425983276282,,,,,,,,0.00988786914439445,0.15347599883539145,0.0007513879540579464,HHL,,,,,,,,43.97128886997234,
8,aer_simulator_statevector (CPU),1D_Poisson_fS_hom,,69,True,4,0.0001631700194721487,0.00016320528335654752,,,,42.137764839337706,2.8877646497893483e-05,0.042157245581202187,16,134,3,1,,,0.00016316944800588967,,,,,,,42,0.00023047654255129067,0.0006771051223583874,1.7514117069817797e-05,VQLS,,4.584713468869239e-07,9500,8,6,True,,114.16088062501512,
8,aer_simulator_statevector (CPU),1D_Poisson_fS_hom,13151,2452482,True,4,4.5079044946167324e-15,0.00016320528335654752,,,,42.137764839337706,1.6284931173490835e-05,0.016320528335958585,519427,,3,1,,0.00014567491598427296,4.201476893342425e-15,61.60225275138703,auto,6575,42.137764839337706,,True,,0.00016320528335439892,8.515370517225729e-14,1.2402114364613119e-05,QSVT,,,,,,,,3.87393905792851,
8,aer_simulator_statevector (CPU),1D_Poisson_fL_hom,,,True,4,0.0,4.1268079082240597e-16,,,,42.137764839337706,4.440892098500626e-16,8.67163483876863e-14,,,,10,,,3.0897917388964203e-16,,,,,,,,4.1268079082240597e-16,1.5817293000381825e-15,2.0134752377258409e-16,Thomas,,,,,,,3.498808946460486e-05,2.7990085072815418e-05,1.4937139716034406e-05
8,aer_simulator_statevector (CPU),1D_Poisson_fL_hom,,168288,True,4,0.03771431000187286,4.1268079082240597e-16,0.01,1.4302099063106328,100,42.137764839337706,0.027386161362652484,4.278109635722927,40852,242744,3,1,,,0.00973483080861188,,,,,,,,0.037714310001872586,0.12794537457789654,0.018400863569481066,HHL,,,,,,,,50.76141690695658,
8,aer_simulator_statevector (CPU),1D_Poisson_fL_hom,,69,False,4,0.019951256557708578,4.1268079082240597e-16,,,,42.137764839337706,0.014977515374632155,4.202337796110635,16,134,3,1,,,0.010698300094490912,,,,,,,42,0.019951256557708682,0.03183403172993583,0.009734245434687358,VQLS,,0.0010134055761822358,9500,8,6,False,,120.01188254007138,
8,aer_simulator_statevector (CPU),1D_Poisson_fL_hom,13151,2452482,True,4,7.762794352961473e-05,4.1268079082240597e-16,,,,42.137764839337706,5.445463373277004e-05,0.012418419384334014,519427,,3,1,,2.3570959456264973e-05,3.0595331078726284e-05,61.60225275138703,auto,6575,42.137764839337706,,True,,7.76279435297741e-05,0.00011030983775634761,3.787478010335678e-05,QSVT,,,,,,,,3.9292936930432916,
8,aer_simulator_statevector (CPU),1D_Poisson_fH_hom,,,True,4,0.0,0.015240196916751067,,,,42.137764839337706,0.0005950813174611363,4.820158671435204,,,,10,,,0.01000869722529854,,,,,,,,0.015240196916751067,5.425403503887141e-16,0.0003688783156679879,Thomas,,,,,,,3.2290699891746044e-05,2.6430003345012665e-05,1.157171256291617e-05
8,aer_simulator_statevector (CPU),1D_Poisson_fH_hom,,168288,True,4,0.014726087851479995,0.015240196916751067,0.01,0.06971497147193319,100,42.137764839337706,0.0008603215767346746,6.920559331783386,40852,242744,3,1,,,0.020018388205670125,,,,,,,,0.027278360170933505,0.05560901336674708,0.0006602536442937116,HHL,,,,,,,,62.562169517041184,
8,aer_simulator_statevector (CPU),1D_Poisson_fH_hom,,69,False,4,0.08374258404296038,0.015240196916751067,,,,42.137764839337706,0.003270997462780525,26.495079448522258,16,134,3,1,,,0.08406964583005115,,,,,,,42,0.08599558450908114,0.019830794746913794,0.0020814630245182225,VQLS,,0.00039326042029430575,9500,8,6,False,,114.56443344592117,
